Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
     name	The name of the current function.  The index number is
		printed after it.  If the function is a member of a
		cycle, the cycle number is printed between the
		function's name and the index number.


 For the function's parents, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the function into this parent.

     children	This is the amount of time that was propagated from
		the function's children into this parent.

     called	This is the number of times this parent called the
		function `/' the total number of times the function
		was called.  Recursive calls to the function are not
		included in the number after the `/'.

     name	This is the name of the parent.  The parent's index
		number is printed after it.  If the parent is a
		member of a cycle, the cycle number is printed between
		the name and the index number.

 If the parents of the function cannot be determined, the word
 `<spontaneous>' is printed in the `name' field, and all the other
 fields are blank.

 For the function's children, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the child into the function.

     children	This is the amount of time that was propagated from the
		child's children to the function.

     called	This is the number of times the function called
		this child `/' the total number of times the child
		was called.  Recursive calls by the child are not
		listed in the number after the `/'.

     name	This is the name of the child.  The child's index
		number is printed after it.  If the child is a
		member of a cycle, the cycle number is printed
		between the name and the index number.

 If there are any cycles (circles) in the call graph, there is an
 entry for the cycle-as-a-whole.  This entry shows who called the
 cycle (as parents) and the members of the cycle (as children.)
 The `+' recursive calls entry shows the number of function calls that
 were internal to the cycle, and the calls entry for each member shows,
 for that member, how many times it was called from other members of
 the cycle.

Copyright (C) 2012-2020 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

Index by function name

 [135] accelerate_flow (d2q9-bgk.c:204 @ 4017e3) [37] collision (d2q9-bgk.c:325 @ 4024e5) [61] collision (d2q9-bgk.c:378 @ 402adf)
 [123] accelerate_flow (d2q9-bgk.c:216 @ 40184b) [104] collision (d2q9-bgk.c:320 @ 40251e) [50] collision (d2q9-bgk.c:379 @ 402b08)
 [124] accelerate_flow (d2q9-bgk.c:217 @ 401874) [53] collision (d2q9-bgk.c:328 @ 402528) [80] collision (d2q9-bgk.c:380 @ 402b35)
 [116] accelerate_flow (d2q9-bgk.c:222 @ 401934) [25] collision (d2q9-bgk.c:329 @ 402559) [73] collision (d2q9-bgk.c:378 @ 402b54)
 [125] accelerate_flow (d2q9-bgk.c:223 @ 401995) [64] collision (d2q9-bgk.c:330 @ 40258e) [52] collision (d2q9-bgk.c:383 @ 402b5d)
 [126] accelerate_flow (d2q9-bgk.c:224 @ 4019f6) [33] collision (d2q9-bgk.c:331 @ 4025c3) [4] collision (d2q9-bgk.c:385 @ 402b69)
 [127] accelerate_flow (d2q9-bgk.c:226 @ 401a57) [29] collision (d2q9-bgk.c:332 @ 4025f4) [44] collision (d2q9-bgk.c:386 @ 402b9f)
